,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore
38824,2021,17827,420000,74.0,2,3.125,420000,18.06,39.24,5,5
38825,2021,20325,548250,75.0,2,3.125,548250,12.6,17.01,5,5
38845,2021,16675,330000,58.0,2,2.5,330000,13.2,21.86,5,5
38865,2021,26023,520000,80.0,2,2.875,520000,16.28,25.5,5,5
38876,2021,17536,400000,42.0,2,2.625,400000,20.95,21.34,5,5
38879,2021,22917,474000,70.0,2,3.125,474000,12.84,22.3,5,5
38880,2021,21921,400000,80.0,2,3.25,400000,11.6,23.57,5,5
38882,2021,21603,513800,39.0,2,2.875,513800,10.67,22.74,5,5
38883,2021,23766,480000,80.0,2,3.125,480000,10.46,22.66,5,5
38907,2021,21545,332000,80.0,2,3.5,332000,8.85,26.93,5,5
38909,2021,21742,372000,68.0,2,2.875,372000,10.04,31.55,5,5
38910,2021,14667,547000,78.0,2,3.375,547000,26.01,30.8,5,5
38917,2021,21509,406000,63.0,2,3.375,406000,12.88,16.26,4,4
38919,2021,14857,382400,80.0,2,3.375,382400,13.56,38.66,4,4
38932,2021,13114,434000,93.0,2,2.875,434000,18.18,36.46,5,5
38942,2021,12420,495000,90.0,2,2.875,495000,22.39,40.53,5,5
38965,2021,13434,333000,90.0,2,3.125,333000,13.66,37.55,5,5
38981,2021,29722,500000,39.0,2,3.25,500000,13.91,37.08,5,5
39009,2021,14110,544000,80.0,2,2.875,544000,20.02,32.16,5,4
39012,2021,19316,548250,40.0,2,2.875,548250,13.81,36.82,5,5
39023,2021,17970,480000,80.0,2,3.125,480000,14.03,26.03,5,5
39027,2021,14685,400000,83.0,2,2.75,400000,18.34,41.8,5,5
39040,2021,10545,500000,70.0,2,2.875,500000,29.19,39.45,4,4
39050,2021,16276,465000,77.0,2,2.875,465000,14.04,21.36,4,4
39063,2021,10994,461250,75.0,2,2.875,461250,21.98,26.53,5,5
39074,2021,12133,430000,71.0,2,2.625,430000,18.24,18.73,5,5
39076,2021,14202,475129,80.0,2,2.625,476000,18.75,31.13,5,5
39085,2021,12844,444800,80.0,2,2.875,444800,18.06,29.48,5,5
39106,2021,12685,421500,75.0,2,3.125,421500,16.39,27.29,3,5
39109,2021,13750,390000,75.0,2,2.875,390000,15.23,15.85,5,5
39117,2021,11473,376000,80.0,2,3.0,376000,16.74,29.77,4,5
39164,2021,8334,472000,80.0,2,3.125,472000,31.45,31.8,5,5
39168,2021,18750,431000,84.0,2,3.0,431000,12.92,31.39,5,4
39188,2021,11389,521750,90.0,2,3.0,521750,24.03,36.48,5,5
39189,2021,14941,300000,80.0,2,3.125,300000,12.03,38.5,4,4
39219,2021,12571,434533,80.0,2,3.125,436000,21.61,38.8,3,4
39232,2021,11783,356414,85.0,2,2.875,357040,19.27,27.65,5,5
39234,2021,16275,385767,80.0,2,3.375,387200,14.18,16.47,5,5
39246,2021,13103,328000,77.0,2,2.875,328000,17.41,28.31,5,5
39249,2021,28957,436957,80.0,2,3.25,438400,8.25,13.78,4,5
39258,2021,15029,367000,80.0,2,2.875,367000,11.23,11.46,5,5
39260,2021,13285,344000,80.0,2,2.875,344000,13.28,28.56,5,5
39289,2021,11667,367200,80.0,2,3.0,367200,18.12,30.39,5,5
39329,2021,10636,360000,80.0,2,2.75,360000,16.27,34.54,4,4
39332,2021,10714,525000,64.0,2,2.875,525000,27.75,41.56,5,5
39352,2021,8952,442000,71.0,2,3.0,442000,28.11,29.03,4,4
39356,2021,16720,360000,66.0,2,2.875,360000,14.82,18.8,5,5
39362,2021,11189,365000,70.0,2,3.25,365000,20.02,29.2,5,5
39446,2021,12178,363600,80.0,2,2.75,363600,14.24,22.58,4,4
39454,2021,11036,499200,80.0,2,2.75,499200,31.16,38.27,5,5
39456,2021,21600,415897,74.0,2,2.375,415897,13.9,20.52,4,4
39462,2021,19439,347194,68.9,2,3.0,350000,8.09,17.41,4,4
39469,2021,15072,388779,67.0,2,2.75,390000,19.58,31.04,3,5
39511,2021,18314,424000,80.0,2,2.75,424000,12.3,18.0,5,5
39518,2021,9165,400000,80.0,2,2.75,400000,21.95,23.26,5,5
39520,2021,14955,490000,74.0,2,2.875,490000,17.89,21.17,5,5
39540,2021,10931,439000,87.0,2,3.0,439000,23.9,34.54,5,5
39543,2021,16911,522000,90.0,2,2.875,522000,16.62,42.68,5,5
39544,2021,11151,520000,94.0,2,3.125,520000,26.93,41.0,4,4
39552,2021,23000,256500,90.0,2,3.25,256500,11.57,35.47,4,4
39627,2021,15066,357628,80.0,2,3.125,357628,13.29,24.39,5,5
39629,2021,18643,450204,80.0,2,3.0,450204,13.61,30.01,4,5
39633,2021,16058,548000,56.0,2,2.875,548000,19.4,40.58,4,4
39635,2021,19767,371000,45.0,2,3.0,371000,12.05,21.04,5,5
39638,2021,17120,462473,80.0,2,3.25,464000,15.02,40.39,4,4
39643,2021,16500,325850,74.0,2,3.125,326950,12.98,24.92,5,5
39667,2021,10650,548200,74.0,2,3.25,548200,29.26,41.98,4,4
39686,2021,16709,472500,75.0,2,2.875,472500,17.54,18.46,5,5
39694,2021,14070,414773,78.0,2,3.0,414773,17.7,30.36,5,5
39695,2021,14223,459000,90.0,2,3.0,459000,18.48,27.42,5,5
39704,2021,13171,316000,80.0,2,3.125,316000,14.53,33.07,5,5
39709,2021,20094,299500,80.0,2,3.25,300000,8.7,33.49,4,5
39711,2021,14720,445500,90.0,2,3.125,445500,16.83,33.11,5,5
39714,2021,8016,468000,80.0,2,3.125,468000,25.01,36.35,5,5
39717,2021,16242,441000,90.0,2,3.125,441000,15.33,18.93,5,5
39718,2021,11702,440000,60.0,2,3.25,440000,18.34,29.72,5,5
39724,2021,13945,340000,80.0,2,3.25,340000,14.22,32.71,4,4
39725,2021,15259,341600,80.0,2,3.125,341600,13.08,31.97,5,5
39735,2021,13861,455000,75.0,2,3.0,455000,26.48,27.09,5,5
39736,2021,29833,408000,68.0,2,3.125,408000,9.75,11.0,5,5
39748,2021,24732,548200,80.0,2,2.875,548200,12.14,37.18,5,5
39768,2021,17218,417125,51.0,2,2.875,417125,13.12,30.7,4,4
39770,2021,11486,372000,80.0,2,3.375,372000,18.96,20.54,5,5
39780,2021,10300,435000,72.0,2,2.875,435000,22.75,29.51,5,5
39792,2021,12889,380100,61.0,2,2.5,380100,21.13,28.18,4,5
39800,2021,13868,446250,85.0,2,2.75,446250,17.72,25.36,5,5
39806,2021,14497,336000,80.0,2,3.0,336000,14.35,25.55,5,5
39813,2021,17040,478000,71.0,2,2.875,478000,17.05,38.41,5,5
39815,2021,13113,344000,79.0,2,3.25,344000,18.86,35.24,4,4
39829,2021,10417,503500,68.0,2,2.875,503500,23.16,32.11,5,5
39837,2021,24000,545000,79.0,2,2.875,545000,14.25,25.38,5,5
39840,2021,15677,548250,78.0,2,2.75,548250,14.28,21.57,4,4
39842,2021,10738,548250,77.0,2,3.25,548250,29.64,38.05,5,5
39872,2021,13114,356000,74.0,2,2.75,356000,17.8,39.52,5,5
39874,2021,16830,420000,80.0,2,2.875,420000,13.65,29.28,5,5
39891,2021,9520,529600,80.0,2,2.75,529600,29.8,35.03,5,5
39896,2021,20879,375000,57.0,2,2.75,375000,7.33,7.75,4,4
39899,2021,20673,453000,68.64,2,2.75,453000,13.09,20.8,5,5
39901,2021,21146,548250,60.92,2,2.75,548250,14.8,36.75,3,4
39906,2021,29079,420000,44.44,2,2.75,420000,7.84,13.43,4,4
39907,2021,12583,374080,80.0,2,2.875,374080,16.52,29.07,4,3
39910,2021,19847,548250,36.55,2,2.75,548250,18.64,34.68,5,5
39943,2021,21242,548250,30.46,2,2.75,548250,17.51,32.83,5,5
39946,2021,19600,364500,90.0,2,3.25,364500,8.89,40.64,5,5
39948,2021,19272,484000,95.0,2,3.25,484000,16.28,24.33,3,4
39953,2021,18550,374082,80.0,2,3.125,374082,12.36,27.85,5,4
39954,2021,18390,499142,40.0,2,3.0,500000,18.09,33.24,5,4
39966,2021,12329,375740,78.0,2,2.875,376400,16.82,27.65,5,5
39988,2021,17063,352000,80.0,2,2.75,352000,12.74,15.79,4,5
40000,2021,18582,294300,59.0,2,2.875,294300,15.52,33.98,5,5
40010,2021,29654,380000,80.0,2,2.625,380000,6.88,11.28,5,5
40019,2021,10397,421076,78.0,2,3.0,421800,20.49,30.93,5,5
40048,2021,17370,461250,75.0,2,3.125,461250,17.96,40.37,4,4
40052,2021,17308,465585,80.0,2,3.0,468000,16.79,24.39,5,5
40075,2021,14933,369400,64.0,2,2.875,369400,16.15,33.11,4,5
40088,2021,22205,330000,55.0,2,3.0,330000,9.02,30.43,4,4
40105,2021,12659,350000,54.0,2,3.125,350000,15.3,19.11,4,5
40140,2021,11015,548250,69.0,2,2.875,548250,28.46,35.31,4,5
40152,2021,18807,410000,90.0,2,2.875,410000,14.31,15.37,5,5
40155,2021,20077,415000,89.0,2,2.75,415000,11.5,31.21,5,5
40159,2021,27981,500000,44.0,2,2.875,500000,13.24,27.37,5,5
40163,2021,12881,415000,68.0,2,3.0,415000,19.47,39.29,5,5
40164,2021,11115,415000,83.0,2,3.125,415000,21.06,32.69,4,4
40171,2021,15742,403000,74.0,2,3.25,403000,15.21,24.59,5,5
40173,2021,8844,362500,72.0,2,2.875,362500,18.43,24.21,5,5
40179,2021,18200,472500,60.0,2,2.875,472500,15.58,16.8,5,5
40180,2021,23671,490000,73.0,2,2.875,490000,12.23,24.82,5,4
40181,2021,13663,364000,80.0,2,2.875,364000,15.26,41.15,5,5
40182,2021,19422,448800,80.0,2,2.875,448800,12.65,19.58,5,4
40187,2021,12500,430000,75.0,2,2.875,430000,19.25,34.59,4,4
40201,2021,18879,446400,80.0,2,3.25,446400,15.1,23.93,5,5
40202,2021,17567,397500,80.0,2,3.0,397500,15.15,20.15,5,5
40203,2021,12500,475250,94.0,2,2.75,475250,17.2,25.24,4,5
40204,2021,10881,360720,80.0,2,3.125,360720,19.64,21.11,5,4
40220,2021,19484,427500,90.0,2,2.875,427500,14.64,25.31,5,5
40249,2021,12275,360000,90.0,2,2.875,360000,14.62,21.35,5,5
40266,2021,23627,449910,90.0,2,3.0,449910,10.99,25.61,5,5
40277,2021,17009,421700,78.0,2,2.75,421700,16.26,16.78,5,5
40284,2021,11338,500000,80.0,2,2.875,500000,24.25,28.99,5,4
40292,2021,11435,520000,80.0,2,2.75,520000,26.04,42.05,4,5
40296,2021,19303,338580,90.0,2,2.875,338580,8.57,35.97,4,5
40300,2021,11933,540000,80.0,2,2.75,540000,24.76,26.43,4,5
40301,2021,27153,548250,37.68,2,2.875,548250,13.21,30.76,5,5
40303,2021,13166,356250,95.0,2,2.875,356250,16.55,38.51,5,5
40304,2021,16120,430350,95.0,2,2.625,430350,15.11,26.98,5,5
40307,2021,20033,532000,85.0,2,2.875,532000,15.1,37.85,4,5
40315,2021,11708,449925,75.0,2,3.0,449925,19.79,27.89,5,5
40317,2021,28857,312948,61.0,2,2.75,312948,7.36,23.12,4,5
40324,2021,25366,548250,74.59,2,2.875,548250,12.25,36.97,5,5
40325,2021,12436,354000,87.84,2,3.125,354000,15.96,22.57,4,4
40338,2021,23893,367900,78.0,2,2.625,367900,11.18,41.75,4,5
40340,2021,10248,400000,58.82,2,3.0,400000,22.43,30.44,5,5
40346,2021,9889,529100,74.0,2,2.5,529100,24.7,35.9,5,4
40382,2021,13956,475500,85.0,2,2.875,475500,19.24,32.12,4,5
40397,2021,15050,390980,79.0,2,3.125,392300,18.64,21.75,5,5
40402,2021,8913,548250,79.0,2,2.875,548250,32.51,32.67,5,4
40409,2021,15275,385000,70.0,2,3.25,385000,14.16,17.53,5,5
40410,2021,14427,520000,80.0,2,3.0,520000,20.46,41.2,5,3
40424,2021,28984,548250,57.0,2,3.25,548250,13.06,17.31,4,4
40441,2021,11244,506281,78.0,2,2.875,506281,29.28,33.69,4,4
40444,2021,16149,461000,75.0,2,2.75,461000,15.64,34.99,5,4
40457,2021,11284,488000,80.0,2,3.0,488000,21.82,27.95,5,5
40467,2021,13984,490000,62.0,2,3.125,490000,20.54,31.48,5,5
40475,2021,10000,500000,76.0,2,2.875,500000,28.9,29.57,5,5
40483,2021,10223,356250,64.0,2,3.0,356250,17.34,20.27,4,4
40484,2021,11096,400000,80.0,2,3.0,400000,19.5,23.63,5,5
40493,2021,19369,440000,88.0,2,2.875,440000,12.54,20.14,4,5
40498,2021,17365,548250,75.0,2,2.875,548250,19.37,35.02,5,5
40511,2021,16624,383200,80.0,2,3.0,383200,13.03,24.66,5,5
40517,2021,21087,500000,80.0,2,2.875,500000,14.32,33.1,5,5
40531,2021,17812,323000,68.0,2,3.25,323000,13.03,16.73,5,5
40534,2021,11135,473000,83.0,2,3.0,473000,24.24,32.29,5,5
40547,2021,11622,405440,80.0,2,2.75,405440,18.73,31.3,5,5
40558,2021,18137,443847,80.0,2,2.375,448000,21.94,23.29,5,5
40570,2021,15863,353007,71.0,2,3.125,353601,12.85,34.03,4,3
40575,2021,23415,380500,64.0,2,3.125,380500,10.81,12.33,5,5
40577,2021,15501,408000,80.0,2,3.0,408000,15.2,18.39,5,4
40583,2021,12908,364673,80.0,2,3.0,365300,17.13,35.15,5,5
40594,2021,18546,335825,80.0,2,3.125,337000,12.18,28.63,5,5
40596,2021,12007,360000,66.0,2,2.875,360000,16.26,38.51,5,5
40637,2021,18303,349399,75.0,2,3.0,350000,8.67,16.72,4,3
40645,2021,21851,546298,80.0,2,3.25,548250,15.68,38.54,4,4
40646,2021,12277,412500,75.0,2,3.125,412500,19.16,28.29,5,5
40648,2021,11077,548250,71.0,2,2.875,548250,35.92,36.42,5,5
40661,2021,16757,487500,75.0,2,3.0,487500,15.95,34.96,4,5
40663,2021,10745,491000,84.0,2,3.0,491000,26.76,26.99,5,5
40664,2021,21899,373000,73.0,2,2.875,373000,10.6,31.92,5,5
40694,2021,17917,360000,72.0,2,2.875,360000,13.76,40.79,5,5
40716,2021,12039,367000,84.0,2,2.875,367000,14.54,20.36,4,5
40727,2021,18468,457200,80.0,2,3.0,457200,14.65,32.78,4,4
40728,2021,11850,366000,80.0,2,3.0,366000,21.02,29.88,5,5
40732,2021,16745,471000,75.0,2,3.0,471000,16.27,17.4,5,5
40734,2021,20021,447000,74.0,2,2.75,447000,14.81,20.45,5,4
40735,2021,10157,430800,71.0,2,2.875,430800,21.52,32.3,5,5
40746,2021,12704,375000,78.0,2,2.875,375000,13.82,18.41,5,5
40749,2021,10792,485000,90.0,2,3.0,485000,24.86,37.58,5,5
40750,2021,28177,525090,64.0,1,3.125,526000,10.93,12.19,4,9
40751,2021,10293,494000,69.0,2,3.25,494000,29.05,38.65,5,4
40762,2021,27071,520000,80.0,2,3.0,520000,13.27,31.15,5,5
40768,2021,17274,390000,74.0,2,3.5,390000,12.35,22.04,4,4
40779,2021,13159,414000,90.0,2,3.25,414000,20.02,34.92,4,4
40793,2021,15550,530000,63.0,2,3.0,530000,23.02,30.6,5,5
40797,2021,15250,363800,90.0,2,3.0,363800,13.55,37.27,4,4
40800,2021,9996,455000,69.0,2,2.875,455000,24.52,32.8,4,4
40806,2021,12771,423600,75.0,2,2.875,423600,19.74,41.44,4,4
40818,2021,25718,542837,87.0,2,3.125,543750,22.13,40.05,3,4
40819,2021,27555,548250,79.0,2,2.875,548250,11.23,18.31,5,5
40823,2021,14633,351895,75.0,2,3.0,352500,15.14,19.47,5,5
40833,2021,15417,367500,75.0,2,3.0,367500,13.01,17.62,5,4
40837,2021,12881,386700,60.0,2,3.0,386700,19.3,41.11,5,5
40843,2021,21918,408000,80.0,2,2.875,408000,10.97,38.61,4,5
40845,2021,10275,368800,80.0,2,2.875,368800,19.27,29.31,4,5
40846,2021,26262,548250,61.0,2,3.125,548250,13.96,15.09,5,4
40848,2021,13946,388000,80.0,2,3.125,388000,15.04,25.82,5,5
40866,2021,27902,388000,80.0,2,3.375,388000,8.05,20.19,5,5
40875,2021,10900,543000,58.0,2,3.5,543000,32.27,38.49,4,3
40898,2021,14733,360000,72.0,2,3.125,360000,13.65,23.32,5,5
40912,2021,12168,360000,80.0,2,3.625,360000,18.92,34.76,5,5
40915,2021,15298,429300,90.0,2,2.875,429300,16.64,36.1,3,5
40918,2021,14266,397500,75.0,2,2.875,397500,16.73,42.83,4,4
40919,2021,24439,548250,75.0,2,2.875,548250,12.34,24.18,5,5
40923,2021,14092,464000,88.0,2,2.875,464000,19.29,26.3,5,5
40925,2021,18975,518000,52.0,2,3.0,518000,17.7,23.78,5,5
40931,2021,11625,372000,80.0,2,3.125,372000,19.48,30.61,4,4
40943,2021,13217,350400,80.0,2,3.125,350400,13.53,31.82,4,4
40951,2021,12917,460000,65.71,2,2.875,460000,20.43,24.09,5,5
40953,2021,16300,535000,62.0,2,3.125,535000,20.82,27.37,5,5
40959,2021,12912,445000,64.0,2,2.875,445000,19.32,31.63,4,4
40962,2021,16325,392000,80.0,2,3.0,392000,13.48,29.15,5,5
40965,2021,27625,341835,63.0,2,3.25,341835,16.34,23.67,5,5
40980,2021,21397,397500,75.0,2,3.0,397500,10.41,18.4,4,4
40983,2021,9166,402000,75.0,2,3.25,402000,24.5,25.65,5,5
40995,2021,12836,480000,77.0,2,3.0,480000,16.49,32.77,5,4
40998,2021,12403,374500,73.0,2,2.75,374500,20.5,20.5,5,5
41038,2021,14583,459920,80.0,2,3.0,459920,21.17,33.73,4,5
41045,2021,13709,346500,76.0,2,2.75,346500,20.01,23.63,4,4
41057,2021,23750,354600,90.0,2,3.0,354600,8.76,22.34,5,5
41087,2021,22713,522381,79.0,2,3.25,525500,16.67,22.67,5,5
41090,2021,19210,300000,66.0,2,3.125,300000,14.13,28.68,4,5
41097,2021,10132,416000,80.0,2,2.75,416000,25.31,25.75,5,5
41098,2021,10192,440000,80.0,2,2.875,440000,25.37,28.48,5,5
41110,2021,13366,420300,85.0,2,2.875,420300,19.68,34.83,4,5
41112,2021,18183,330400,80.0,2,2.875,330400,14.46,22.86,5,5
41113,2021,23767,448000,80.0,2,2.875,448000,12.17,31.73,5,4
41114,2021,10924,432000,80.0,2,2.75,432000,23.98,28.22,5,4
41116,2021,18750,548000,78.0,2,3.0,548000,16.7,24.34,5,4
41119,2021,12318,344250,85.0,2,2.75,344250,17.06,33.86,5,4
41120,2021,16500,547500,75.0,2,2.75,547500,18.5,27.22,5,5
41147,2021,16183,380000,80.0,2,3.5,380000,13.97,32.47,5,4
41150,2021,16344,342619,77.0,2,2.875,342619,9.34,36.43,4,4
41157,2021,20962,335000,78.0,2,2.875,335000,8.42,21.31,5,5
41160,2021,16296,548250,76.0,2,3.0,548250,25.31,28.28,5,5
41169,2021,28333,363000,60.0,2,3.0,363000,6.76,18.62,5,5
41176,2021,18163,397333,63.0,2,2.5,400000,16.63,17.55,4,5
41187,2021,24807,344000,80.0,2,3.25,344000,8.38,12.79,5,5
41199,2021,13173,325600,80.0,2,3.0,325600,15.59,38.04,4,5
41201,2021,17047,400000,66.0,2,2.75,400000,17.01,27.65,4,5
41214,2021,16723,358384,79.0,2,3.0,359000,13.84,38.13,5,5
41223,2021,21313,384171,79.0,2,3.125,386870,13.2,25.23,5,5
41229,2021,17194,464337,74.0,2,2.75,468750,21.2,31.66,4,4
41253,2021,20774,396945,80.0,2,3.5,398200,11.97,37.23,3,4
41257,2021,14119,364351,79.0,2,3.125,365000,17.13,27.99,5,5
41261,2021,26247,459194,80.0,2,2.875,460000,11.45,19.23,5,5
41262,2021,11798,416000,45.0,2,2.75,416000,14.39,37.83,5,5
41290,2021,21290,548250,31.0,2,3.125,548250,23.28,40.22,4,5
41309,2021,11589,456891,80.0,2,3.25,458400,22.18,40.75,5,5
41312,2021,23000,466426,80.0,2,3.125,468000,14.04,33.07,5,5
41331,2021,14513,312405,66.0,2,3.0,312942,13.92,29.0,4,4
41335,2021,24409,519000,71.0,2,3.0,519000,12.24,25.98,4,4
41338,2021,11187,423900,82.0,2,2.875,423900,20.6,39.77,4,4
41344,2021,13967,548250,79.0,2,2.75,548250,20.08,28.18,5,5
41367,2021,22499,516000,80.0,2,3.125,516000,12.37,14.17,5,5
41371,2021,10845,400000,75.0,2,3.125,400000,20.93,29.05,5,4
41375,2021,25273,367920,80.0,2,2.25,367920,12.32,22.73,5,5
41384,2021,24775,418400,80.0,2,2.875,418400,9.33,30.65,5,4
41440,2021,13216,351000,80.0,2,2.875,351000,14.68,25.86,4,5
41461,2021,11299,360000,80.0,2,2.875,360000,16.11,29.62,5,4
41462,2021,9141,499500,80.0,2,3.0,499500,32.24,38.85,5,5
41471,2021,27083,318010,70.0,2,3.125,318010,7.03,14.74,5,5
41476,2021,28934,270000,75.0,2,2.375,270000,6.73,16.65,4,5
41478,2021,15840,542000,78.0,2,3.125,542000,19.51,21.14,5,4
41485,2021,19843,382000,78.0,2,3.25,382000,11.05,18.1,4,5
41487,2021,11633,376200,95.0,2,3.0,376200,18.17,29.43,5,5
41495,2021,15171,372000,80.0,2,2.875,372000,14.34,19.21,5,5
41504,2021,30000,476000,80.0,1,3.0,476000,9.19,14.28,5,9
41505,2021,14473,530000,90.0,2,2.875,530000,19.55,35.95,3,4
41513,2021,30164,548250,57.11,2,2.75,548250,10.86,16.71,5,5
41515,2021,19583,340000,85.0,2,3.0,340000,9.39,28.91,5,5
41535,2021,26758,506250,75.0,2,2.625,506250,14.99,41.2,4,5
41552,2021,13333,375000,75.0,2,3.0,375000,15.83,16.02,5,5
41553,2021,12668,502000,72.0,2,3.0,502000,21.23,36.23,4,4
41591,2021,20000,360000,65.0,2,2.5,360000,21.62,38.47,4,4
41596,2021,22023,548250,62.0,2,2.875,548250,13.23,15.6,5,4
41620,2021,21562,382500,75.0,2,3.25,382500,11.91,27.85,5,5
41656,2021,20675,360000,80.0,2,2.75,360000,9.05,23.19,5,5
41657,2021,24311,434250,90.0,2,2.75,434250,9.7,28.01,5,5
41659,2021,14430,368000,80.0,2,2.75,368000,15.2,35.81,5,5
41685,2021,15496,426400,50.0,2,3.0,426400,14.07,17.19,4,4
41687,2021,15118,473000,49.0,2,3.0,473000,24.7,38.96,4,4
41695,2021,15104,452000,65.51,2,2.75,452000,16.68,30.26,4,5
41713,2021,11875,480000,80.0,2,2.875,480000,24.5,38.58,4,5
41716,2021,13100,540000,80.0,2,3.0,540000,20.55,39.66,5,5
41729,2021,23457,350000,43.0,2,2.875,350000,8.85,9.03,5,5
41746,2021,14679,500000,77.0,2,2.75,500000,17.95,29.58,5,5
41752,2021,18860,494186,90.0,2,3.25,495000,16.33,38.95,3,4
41759,2021,12857,369750,85.0,2,3.375,369750,18.96,28.93,5,4
41763,2021,14700,548250,56.81,2,3.0,548250,30.01,39.42,3,5
41765,2021,18416,548250,66.0,2,3.125,548250,16.01,32.68,5,4
41780,2021,11208,365750,95.0,2,3.0,365750,17.24,24.87,5,5
41794,2021,14583,495000,73.0,2,3.375,495000,19.52,35.59,5,5
41821,2021,23266,400000,73.0,2,2.625,400000,14.21,15.07,4,4
41822,2021,19582,548250,76.0,2,3.25,548250,15.08,18.0,5,5
41858,2021,15000,500000,80.0,2,2.625,500000,22.42,28.58,5,5
41869,2021,29824,365000,77.0,2,3.0,365000,6.27,16.78,5,5
41884,2021,22549,419000,42.76,2,2.75,419000,18.05,18.7,5,5
41885,2021,11403,337900,74.0,2,2.75,337900,14.46,28.05,4,4
41889,2021,17500,520000,80.0,2,3.0,520000,13.7,39.34,5,5
41900,2021,12794,460750,95.0,2,3.125,460750,20.7,31.76,4,4
41904,2021,27052,450000,69.0,2,3.0,450000,9.5,11.53,5,5
41910,2021,30415,548250,35.95,1,2.875,548250,7.48,26.62,4,9
41916,2021,13225,410500,78.94,2,3.0,410500,16.72,33.79,5,4
41951,2021,8792,400000,80.0,2,2.75,400000,25.05,26.52,4,5
41962,2021,14118,408000,68.0,2,2.875,408000,25.45,32.85,4,5
41964,2021,11068,380000,72.0,2,3.0,380000,21.02,36.09,5,4
41969,2021,26774,308800,80.0,2,3.25,308800,7.09,7.87,4,5
41984,2021,18040,446500,95.0,2,2.75,446500,12.75,21.85,5,5
41987,2021,24691,323400,77.0,2,2.625,323400,9.16,18.23,5,4
41994,2021,10834,432000,80.0,2,2.875,432000,20.96,23.79,5,5
42003,2021,8236,480000,80.0,2,3.375,480000,30.54,31.7,5,5
42020,2021,10312,476000,80.0,2,3.25,476000,24.98,26.71,5,5
42027,2021,18648,507340,95.0,2,2.75,508250,15.84,21.86,4,5
42035,2021,16244,331000,51.0,2,3.5,331000,15.85,25.23,5,5
42045,2021,17987,548250,80.0,2,3.25,548250,14.63,27.74,5,5
42047,2021,16083,548250,49.84,2,2.875,548250,14.14,25.03,5,5
42048,2021,15713,449100,90.0,2,3.0,449100,19.78,41.53,4,3
42084,2021,13333,536000,78.42,2,2.875,536000,16.68,25.22,5,5
42089,2021,27686,425000,62.0,2,2.875,425000,9.54,14.87,5,5
42092,2021,20492,386250,75.0,2,2.875,386250,10.03,24.82,4,4
42100,2021,18007,380700,84.0,2,2.75,382500,13.67,22.35,5,5
42103,2021,14296,545000,69.0,2,3.0,545000,20.7,38.1,5,5
42116,2021,19500,335000,48.0,2,2.875,335000,10.93,25.15,5,5
42125,2021,14347,400624,76.0,2,2.875,400624,14.92,18.69,5,5
42133,2021,18477,452000,80.0,2,3.25,452000,14.53,19.53,4,4
42137,2021,19922,508000,75.0,2,3.25,508000,18.41,22.06,5,5
42147,2021,13768,497000,75.0,2,2.75,497000,20.22,28.65,5,5
42161,2021,13486,448800,85.0,2,3.125,448800,20.03,37.64,5,5
42174,2021,13098,350000,64.0,2,2.875,350000,19.61,39.9,5,5
42187,2021,14671,369000,68.0,2,3.0,369000,19.99,30.48,4,5
42207,2021,26015,408000,40.0,2,2.75,408000,9.17,25.46,5,5
42219,2021,20985,290500,53.0,2,2.25,290500,12.42,38.28,4,3
42221,2021,13435,325000,73.0,2,2.75,325000,17.22,31.18,5,5
42223,2021,29971,339000,53.0,2,2.5,339000,9.92,11.89,4,4
42244,2021,15584,340000,80.0,2,3.125,340000,13.8,30.54,5,5
42246,2021,14699,496500,73.56,2,2.625,496500,14.28,23.73,5,5
42251,2021,13109,540000,80.0,2,2.875,540000,20.96,38.2,4,5
42252,2021,18750,548250,44.0,2,3.0,548250,28.92,30.39,5,4
42257,2021,10449,400000,48.0,2,2.875,400000,22.33,37.15,4,3
42278,2021,13836,548250,73.0,2,2.75,548250,28.08,29.66,5,5
42286,2021,21624,454612,80.0,2,2.875,454612,13.32,37.69,5,5
42303,2021,11220,400000,80.0,2,2.625,400000,19.82,25.94,5,4
42316,2021,15541,364500,62.0,2,3.0,364500,13.06,40.58,4,4
42320,2021,14768,534400,80.0,2,2.625,534400,18.41,39.47,5,5
42323,2021,13385,412000,80.0,2,2.625,412000,16.75,26.76,5,4
42368,2021,13224,485500,69.0,2,2.625,485500,22.67,27.22,5,5
42376,2021,14653,354973,75.0,2,2.75,356250,14.5,25.99,5,5
42391,2021,13763,424000,80.0,2,3.0,424000,16.4,33.66,4,5
42407,2021,15206,545000,78.0,2,3.0,545000,24.0,41.08,5,5
42418,2021,8889,488000,80.0,2,3.375,488000,30.88,39.08,5,5
42424,2021,13333,334000,45.0,2,2.875,334000,24.71,29.37,5,5
42435,2021,21302,416000,80.0,2,2.625,416000,15.56,39.59,5,5
42440,2021,20573,344000,80.0,2,3.0,344000,9.33,19.6,5,5
42452,2021,19965,540000,58.0,2,2.75,540000,18.65,26.24,5,5
42454,2021,25881,300000,67.0,2,3.0,300000,13.97,40.53,4,4
42456,2021,17597,548250,64.54,2,3.125,548250,17.0,30.9,4,5
42479,2021,29456,503000,72.0,2,2.875,503000,7.93,26.47,5,5
